Time,N_QTN
"2021-11-16/04:49:27",67.8153
"2021-11-16/04:49:30",42.6665
"2021-11-16/04:49:34",53.1738
"2021-11-16/04:49:37",69.7947
"2021-11-16/04:49:41",67.9204
"2021-11-16/04:49:44",54.2576
"2021-11-16/04:49:48",70.6905
"2021-11-16/04:49:51",55.4199
"2021-11-16/04:49:55",53.7328
"2021-11-16/04:49:58",82.2337
"2021-11-16/04:50:02",69.5104
"2021-11-16/04:50:05",53.2144
"2021-11-16/04:50:09",82.3273
"2021-11-16/04:50:12",65.7837
"2021-11-16/04:50:16",68.2744
"2021-11-16/04:50:19",82.3463
"2021-11-16/04:50:23",66.4181
"2021-11-16/04:50:26",67.5311
"2021-11-16/04:50:30",53.2626
"2021-11-16/04:50:33",54.9010
"2021-11-16/04:50:37",51.4038
"2021-11-16/04:50:40",81.2977
"2021-11-16/04:50:44",55.1061
"2021-11-16/04:50:47",55.0196
"2021-11-16/04:50:51",64.0625
"2021-11-16/04:50:54",68.1932
"2021-11-16/04:50:58",68.5099
"2021-11-16/04:51:01",70.5244
"2021-11-16/04:51:05",70.5398
"2021-11-16/04:51:08",85.1751
"2021-11-16/04:51:12",82.0417
"2021-11-16/04:51:15",55.5757
"2021-11-16/04:51:19",69.4463
"2021-11-16/04:51:22",53.4623
"2021-11-16/04:51:26",64.9680
"2021-11-16/04:51:29",85.8752
"2021-11-16/04:51:32",72.2980
"2021-11-16/04:51:36",51.5340
"2021-11-16/04:51:39",69.3464
"2021-11-16/04:51:43",66.0587
"2021-11-16/04:51:46",83.7610
"2021-11-16/04:51:50",55.3943
"2021-11-16/04:51:53",64.9381
"2021-11-16/04:51:57",50.9127
"2021-11-16/04:52:00",82.6295
"2021-11-16/04:52:04",67.2699
"2021-11-16/04:52:07",54.4032
"2021-11-16/04:52:11",83.5871
"2021-11-16/04:52:14",71.4880
"2021-11-16/04:52:18",68.5963
"2021-11-16/04:52:21",81.7678
"2021-11-16/04:52:25",68.5664
"2021-11-16/04:52:28",69.7138
"2021-11-16/04:52:32",67.0829
"2021-11-16/04:52:35",55.1579
"2021-11-16/04:52:39",55.5964
"2021-11-16/04:52:42",72.3898
"2021-11-16/04:52:46",68.3304
"2021-11-16/04:52:49",68.3986
"2021-11-16/04:52:53",69.6188
"2021-11-16/04:52:56",53.1371
"2021-11-16/04:53:00",55.5003
"2021-11-16/04:53:03",67.8640
"2021-11-16/04:53:07",55.1751
"2021-11-16/04:53:10",67.8156
"2021-11-16/04:53:14",69.0411
"2021-11-16/04:53:17",68.2914
"2021-11-16/04:53:21",52.9300
"2021-11-16/04:53:24",84.9437
"2021-11-16/04:53:28",54.2686
"2021-11-16/04:53:31",67.4289
"2021-11-16/04:53:35",55.5676
"2021-11-16/04:53:38",67.5000
"2021-11-16/04:53:42",55.1481
"2021-11-16/04:53:45",68.2414
"2021-11-16/04:53:49",66.5674
"2021-11-16/04:53:52",54.7256
"2021-11-16/04:53:56",55.3434
"2021-11-16/04:53:59",84.0496
"2021-11-16/04:54:03",96.6090
"2021-11-16/04:54:06",55.0899
"2021-11-16/04:54:10",56.1368
"2021-11-16/04:54:13",66.7107
"2021-11-16/04:54:17",70.0979
"2021-11-16/04:54:20",83.5222
"2021-11-16/04:54:24",54.2525
"2021-11-16/04:54:27",70.6991
"2021-11-16/04:54:31",53.5856
"2021-11-16/04:54:34",70.6701
"2021-11-16/04:54:38",67.5967
"2021-11-16/04:54:41",82.0589
"2021-11-16/04:54:45",70.2007
"2021-11-16/04:54:48",55.9623
"2021-11-16/04:54:52",69.8150
"2021-11-16/04:54:55",70.0111
"2021-11-16/04:54:59",54.0678
"2021-11-16/04:55:02",54.3751
"2021-11-16/04:55:06",83.9235
"2021-11-16/04:55:09",56.6712
"2021-11-16/04:55:13",53.6479
"2021-11-16/04:55:16",65.2897
"2021-11-16/04:55:20",51.3030
"2021-11-16/04:55:23",55.1915
"2021-11-16/04:55:27",68.1627
"2021-11-16/04:55:30",71.6417
"2021-11-16/04:55:34",53.8736
"2021-11-16/04:55:37",69.2207
"2021-11-16/04:55:41",66.8712
"2021-11-16/04:55:44",71.6993
"2021-11-16/04:55:48",65.9873
"2021-11-16/04:55:51",71.3253
"2021-11-16/04:55:55",55.4262
"2021-11-16/04:55:58",65.9986
"2021-11-16/04:56:02",55.9492
"2021-11-16/04:56:05",55.1769
"2021-11-16/04:56:09",96.9211
"2021-11-16/04:56:12",68.2964
"2021-11-16/04:56:16",87.5694
"2021-11-16/04:56:19",68.6575
"2021-11-16/04:56:23",82.3695
"2021-11-16/04:56:26",99.1467
"2021-11-16/04:56:30",69.7856
"2021-11-16/04:56:33",56.2933
"2021-11-16/04:56:37",83.3874
"2021-11-16/04:56:40",83.5509
"2021-11-16/04:56:44",66.9256
"2021-11-16/04:56:47",79.5790
"2021-11-16/04:56:51",66.6611
"2021-11-16/04:56:54",54.1644
"2021-11-16/04:56:58",64.0011
"2021-11-16/04:57:01",83.8360
"2021-11-16/04:57:05",82.0066
"2021-11-16/04:57:08",54.6581
"2021-11-16/04:57:12",55.9083
"2021-11-16/04:57:15",54.5972
"2021-11-16/04:57:19",82.3675
"2021-11-16/04:57:22",98.5785
"2021-11-16/04:57:26",69.8425
"2021-11-16/04:57:29",68.4155
"2021-11-16/04:57:33",55.4830
"2021-11-16/04:57:36",54.8636
"2021-11-16/04:57:39",69.2923
"2021-11-16/04:57:43",80.1383
"2021-11-16/04:57:46",84.1911
